speciesA,speciesB
Quercus alba,Quercus bicolor
Quercus alba,Quercus macrocrapa
Quercus alba,Quercus montana
Quercus alba,Quercus muhlenbergii
Quercus alba,Quercus prinoides
Quercus alba,Quercus stellata
Quercus arizonica,Quercus grisea
Quercus bicolor,Quercus macrocrapa
Quercus catesbei,Quercus cuneata
Quercus catesbei,Quercus incana
Quercus catesbei,Quercus nigra
Quercus coccinea,Quercus ilicifolia
Quercus coccinea,Quercus palustris
Quercus coccinea,Quercus rubra
Quercus cuneata,Quercus phellos
Quercus cuneata,Quercus velutina
Quercus douglasii,Quercus garryana
Quercus dumosa,Quercus engelmanni
Quercus ellipsoidalis,Quercus velutina
Quercus emoryi,Quercus grisea
Quercus emoryi,Quercus pungens
Quercus georgiana,Quercus marilandica
Quercus ilicifolia,Quercus marilandica
Quercus ilicifolia,Quercus phellos
Quercus ilicifolia,Quercus velutina
Quercus imbricaria,Quercus marilandica
Quercus imbricaria,Quercus palustris
Quercus imbricaria,Quercus rubra
Quercus imbricaria,Quercus velutina
Quercus incana,Quercus cuneata
Quercus incana,Quercus laurifolia
Quercus incana,Quercus marilandica
Quercus incana,Quercus nigra
Quercus incana,Quercus velutina
Quercus kelloggii,Quercus wislizeni
Quercus macrocarpa,Quercus muhlenbergii
Quercus marilandica,Quercus nigra
Quercus marilandica,Quercus phellos
Quercus pagoda,Quercus phellos
Quercus palustris,Quercus rubra
Quercus phellos,Quercus rubra
Quercus phellos,Quercus velutina
Quercus rubra,Quercus velutina
Quercus agrifolia,Quercus kelloggii
Quercus alba,Quercus lyrata
Quercus alba,Quercus robur
Quercus bicolor,Quercus lyrata
Quercus bicolor,Quercus montana
Quercus bicolor,Quercus robur
Quercus bicolor,Quercus stellata
Quercus bicolor,Quercus virginiana
Quercus douglasii,Quercus lobata
Quercus dumosa,Quercus lobata
Quercus durandii,Quercus lyrata
Quercus durandii,Quercus stellata
Quercus durandii,Quercus virginana
Quercus ellipsoidalis,Quercus rubra
Quercus emoryi,Quercus hypoleucoides
Quercus falcata,Quercus imbricaria
Quercus falcata,Quercus incana
Quercus falcata,Quercus laevis
Quercus falcata,Quercus marilandica
Quercus falcata,Quercus nigra
Quercus falcata,Quercus phellos
Quercus falcata,Quercus shumardii
Quercus falcata,Quercus velutina
Quercus georgiana,Quercus marilandica
Quercus hypoleucoides,Quercus shumardii
Quercus ilicifolia,Quercus rubra
Quercus imbricaria,Quercus shumardii
Quercus incana,Quercus laevis
Quercus incana,Quercus myrtifolia
Quercus incana,Quercus obtusa
Quercus incana,Quercus phellos
Quercus laevis,Quercus laurifolia
Quercus laevis,Quercus nigra
Quercus lyrata,Quercus stellata
Quercus lyrata,Quercus virginiana
Quercus macrocarpa,Quercus obtusa
Quercus macrocarpa,Quercus prinus
Quercus macrocarpa,Quercus stellata
Quercus macrocarpa,Quercus robur
Quercus macrocarpa,Quercus undulata
Quercus macrocarpa,Quercus virginiana
Quercus marilandica,Quercus rubra
Quercus marilandica,Quercus shumardii
Quercus marilandica,Quercus velutina
Quercus montana,Quercus robur
Quercus montana,Quercus stellata
Quercus nigra,Quercus phellos
Quercus nigra,Quercus shumardii
Quercus nigra,Quercus velutina
Quercus nuttallii,Quercus shumardii
Quercus obtusa,Quercus velutina
Quercus palustris,Quercus phellos
Quercus palustris,Quercus shumardii
Quercus palustris,Quercus velutina
Quercus phellos,Quercus shumardii
Quercus prinoides,Quercus stellata
Quercus stellata,Quercus virginiana
Quercus grisea,Quercus mohriana
Quercus havardi,Quercus mohriana
Quercus havardi,Quercus stellata
Quercus margaretta,Quercus stellata
Quercus mohriana,Quercus stellata
Quercus chrysolepis,Quercus dunnii
Quercus arizonica,Quercus gambelii
Quercus gambelii,Quercus grisea
Quercus gambelii,Quercus havardii
Quercus gambelii,Quercus mohriana
Quercus gambelii,Quercus muhlenbergii
Quercus gambelii,Quercus turbinella
Quercus petraea,Quercus robur
Quercus gambelii,Quercus macrocrapa
Quercus agrifolia,Quercus wislizeni
Quercus alba,Quercus austrina
Quercus alba,Quercus durandii
Quercus alba,Quercus margaretta
Quercus alba,Quercus michauxii
Quercus austrina,Quercus lyrata
Quercus austrina,Quercus margaretta
Quercus austrina,Quercus stellata
Quercus austrina,Quercus virginiana
Quercus bicolor,Quercus montana
Quercus bicolor,Quercus virginiana
Quercus margaretta,Quercus virginiana
Quercus michauxii,Quercus lyrata
Quercus michauxii,Quercus macrocarpa
Quercus minima,Quercus stellata
Quercus minima,Quercus virginiana
Quercus muhlenbergii,Quercus prinoides
Quercus falcata,Quercus pagoda
Quercus coccolobifolia,Quercus emoryi
Quercus depressipes,Quercus rugosa
Quercus castanea,Quercus conzattii
Quercus coccolobifolia,Quercus conzattii
Quercus coccolobifolia,Quercus radiata
Quercus coccolobifolia,Quercus tarahumara
Quercus conzattii,Quercus crassifolia
Quercus conzattii,Quercus eduardii
Quercus eduardii,Quercus radiata
Quercus canariensis,Quercus faginea
Quercus canariensis,Quercus frainetto
Quercus canariensis,Quercus macranthera
Quercus canariensis,Quercus petraea
Quercus canariensis,Quercus pubescens
Quercus canariensis,Quercus pyrenica
Quercus canariensis,Quercus robur
Quercus faginea,Quercus frainetto
Quercus faginea,Quercus macranthera
Quercus faginea,Quercus petraea
Quercus faginea,Quercus pubescens
Quercus faginea,Quercus pyrenica
Quercus faginea,Quercus robur
Quercus macranthera,Quercus petraea
Quercus macranthera,Quercus pubescens
Quercus macranthera,Quercus pyrenica
Quercus macranthera,Quercus robur
Quercus petraea,Quercus pubescens
Quercus petraea,Quercus pyrenica
Quercus pubescens,Quercus pyrenica
Quercus pubescens,Quercus robur
Quercus pyrenica,Quercus robur
Quercus cedrosensis,Quercus engelmannii
Quercus engelmannii,Quercus tormentella
Quercus ilex,Quercus suber
Quercus agrifolia,Quercus parvula
Quercus keloggii,Quercus parvula
Quercus parvula,Quercus wislizeni
Quercus dentata,Quercus mongolica
Quercus affins,Quercus laurina
Quercus crassifolia,Quercus laurina
Quercus crassipes,Quercus laurina
Quercus laurina,Quercus mexicana
Quercus laurina,Quercus rubramenta
Quercus coccifera,Quercus ilex
Quercus canariensis,Quercus faginea
Quercus husitanica,Quercus pyrenaica
Quercus carniensis,Quercus suber
Quercus cerris,Quercus suber
Quercus aliena,Quercus dentata
Quercus aliena,Quercus mongolica
Quercus aliena,Quercus serrata
Quercus dentata,Quercus serrata
Quercus mongolica,Quercus serrata
Quercus geminata,Quercus virginiana
Quercus hypoleucoides,Quercus scytophylla
Quercus hypoleucoides,Quercus sideroxyla
Quercus scytophylla,Quercus sideroxyla
Quercus alnifolia,Quercus calliprinos
Quercus calliprinos,Quercus coccifera
Quercus calliprinos,Quercus ilex
Quercus alnifolia,Quercus coccifera
Quercus liaotungensis,Quercus mongolica
Quercus falcata,Quercus rubra
Quercus douglasii,Quercus gambelii
Quercus douglasii,Quercus lobata
Quercus douglasii,Quercus turbinella
Quercus gambelii,Quercus robur
Quercus garryana,Quercus turbinella
Quercus lobata,Quercus macrocarpa
Quercus lobata,Quercus turbinella
Quercus macrocarpa,Quercus mongolica
Quercus macrocarpa,Quercus robur
Quercus macrocarpa,Quercus turbinella
Quercus mongolica,Quercus turbinella
Quercus robur,Quercus turbinella
Quercus stellata,Quercus turbinella
Quercus turbinella,Quercus virginiana
Quercus berberidifolia,Quercus engelmannii
Quercus cornelius‐mulleri ,Quercus engelmannii
Quercus durata,Quercus engelmannii
Quercus acuta,Quercus sessilifolia
Quercus fusiformis,Quercus oleoides
Quercus fusiformis,Quercus virginiana
Quercus oleoides,Quercus sagraeanna
Quercus sagraeanna,Quercus virginiana
Quercus austrocochinchinensi,Quercus kerrii
Quercus castanea,Quercus crassifolia
Quercus castanea,Quercus crassipes
Quercus castanea,Quercus laurina
Quercus castanea,Quercus mexicana
Quercus hinckleyii,Quercus pungens
Quercus hinckleyii,Quercus vaseyana
Quercus magnolifolia,Quercus resinosa
Quercus garryana,Quercus sadleriana
Quercus pontica,Quercus robur
Quercus pontica,Quercus sadleriana
Quercus engelmannii,Quercus lobata
Quercus chrysolepis,Quercus tomentella
Quercus branttii,Quercus macrolepis
Quercus ithaburensis,Quercus libani
Quercus libani,Quercus trojana
Quercus suber,Quercus trojana
